watch result all time - 16369ms 
=====================>100.00 % |  16369 ms | InvoiceController.createInvoiceV5
==========================================>0.12 % |  20 ms | BaseBOProcessorImpl.selectFirstEntity:DeductionOptExpenseTypeSearchCommand@249f4531
=================================================>0.12 % |  20 ms | DeductionOptExpenseTypeMapper.selectBySearchCommand:DeductionOptExpenseTypeSearchCommand@249f4531,Page@160e9782
===================================>0.48 % |  78 ms | ExpenseMapper.selectByInvoiceOIDWithCascade:a554e733-490e-487b-8a73-b340ed05faca
===================================>0.08 % |  13 ms | ExpenseTypeI18nServiceImpl.translateOne:ExpenseType@5b66eaf0
==========================================>0.08 % |  13 ms | ExpenseTypeMpMapper.selectExpenseTypeI18n:ArrayList@a594e00,zh_cn
===================================>0.20 % |  32 ms | ReportService.selectExpenseReportByInvoiceOid:a554e733-490e-487b-8a73-b340ed05faca
==========================================>0.06 % |  10 ms | ExpenseReportInvoiceServiceImpl.findByInvoiceOIDAndStatusNot:a554e733-490e-487b-8a73-b340ed05faca,1003
=================================================>0.06 % |  10 ms | ExpenseReportInvoiceMapper.findByInvoiceOIDAndStatusNot:a554e733-490e-487b-8a73-b340ed05faca,1003
==========================================>0.13 % |  22 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@4c5e2517
=================================================>0.13 % |  22 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@6f4c566
===================================>0.12 % |  20 ms | BaseBOProcessorImplDeprecated.selectFirstEntity:InvoiceSupplementReceiptSearchCommand@2fc5c7b1
==========================================>0.12 % |  20 ms | BaseBOMapperDeprecated.selectBySearchCommand:InvoiceSupplementReceiptSearchCommand@2fc5c7b1,Page@2298b3cd
===================================>1.39 % |  227 ms | InvoiceLabelServiceImpl.selectByInvoiceId:1946130299251605505
==========================================>1.39 % |  227 ms | LabelMapper.selectByEntityIdAndLabelCategoryId:1946130299251605505,2
===================================>0.07 % |  11 ms | ReportService.selectByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
==========================================>0.06 % |  10 ms | ExpenseReportInvoiceServiceImpl.findByInvoiceOID:a554e733-490e-487b-8a73-b340ed05faca
===================================>0.20 % |  32 ms | ExpenseTypeService.selectBaseById:1798626251100164172
==========================================>0.20 % |  32 ms | ExpenseTypeServiceImpl.selectBaseById:1798626251100164172
=================================================>0.20 % |  32 ms | ExpenseTypeMpMapper.selectOneById:1798626251100164172
===================================>0.11 % |  18 ms | BaseMapper.updateById:Invoice@3a77d23f
===================================>0.06 % |  10 ms | ExpenseReportInvoiceServiceImpl.findExpenseReportIdByInvoiceId:1946130299251605505
==========================================>0.06 % |  10 ms | ExpenseReportInvoiceMapper.findExpenseReportIdByInvoiceId:1946130299251605505
===================================>0.12 % |  19 ms | InvoiceAttributeServiceImpl.update:InvoiceAttribute@3ebde116
==========================================>0.12 % |  19 ms | BaseMapper.updateById:InvoiceAttribute@3ebde116
===================================>0.13 % |  21 ms | InvoiceAttributeServiceImpl.update:InvoiceAttribute@3ebde116
