=================================================>0.07 % |  11 ms | EntityLabelServiceImpl.selectInvoiceEntityLabels:c3b24448-7780-4c45-bb2f-963d2d7a156b,SingletonList@1eb1c324,EntityLabelSearchContext@31acbe3e
========================================================>0.07 % |  11 ms | EntityLabelMapper.selectInvoiceLabelByReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b,2,ArrayList@556279ff
==========================================>0.07 % |  11 ms | ReceiptLineInvRelServiceImpl.getReceiptIdsByReportIds:ArrayList@3dcee9cb
=================================================>0.07 % |  11 ms | ReceiptLineInvMappingMapper.selectReceiptIdsByReportIdIn:ArrayList@3dcee9cb
==========================================>0.07 % |  11 ms | EntityLabelServiceImpl.removeEntityLabelBatchWithOriLabelType:ArrayList@43a90a3c,LabelType@102516ac,LabelCategory@3607a8df
=================================================>0.07 % |  11 ms | EntityLabelMapper.selectIdsWithOriLabel:ArrayList@43a90a3c,3,SingletonList@2f0e3fa5
==========================================>7.26 % |  1189 ms | InvalidReceiptRcpLabelCalImpl.compute:31548662,LabelProcessPoint@2cd414eb,LabelCalculatorExtendParam@15760d8a
=================================================>0.07 % |  12 ms | ExpenseReportInvoiceServiceImpl.findSelfByExpenseReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b
========================================================>0.07 % |  11 ms | ExpenseReportInvoiceMapper.findByExpenseReportOID:c3b24448-7780-4c45-bb2f-963d2d7a156b
=================================================>1.44 % |  236 ms | InvoiceServiceImpl.getSimpleByInvoiceOIDs:ArrayList@74440728
========================================================>1.44 % |  236 ms | ExpenseMapper.getSimpleByInvoiceOIDs:ArrayList@74440728
=================================================>0.07 % |  11 ms | ReceiptLineInvRelServiceImpl.getReceiptIdsByInvoiceIds:ArrayList@1f4b93b
========================================================>0.07 % |  11 ms | ReceiptLineInvMappingMapper.getReceiptIdsByInvoiceIds:ArrayList@1f4b93b
=================================================>0.92 % |  150 ms | InvalidReceiptRcpLabelCalImpl.isReceiptNonCompliance:1946060585884106754,LabelCalculatorExtendParam@15760d8a,false
========================================================>0.12 % |  20 ms | ReceiptServiceImpl.selectOneById:1946060585884106754
===============================================================>0.12 % |  20 ms | ReceiptMapper.selectOneById:1946060585884106754
========================================================>0.07 % |  11 ms | ReceiptLineInvRelServiceImpl.getRelByReceiptIds:SingletonList@6977900c
===============================================================>0.07 % |  11 ms | ReceiptLineInvMappingMapper.selectRelByInvoiceOIDAndReceiptIds:null,SingletonList@6977900c
========================================================>0.18 % |  30 ms | ReportService.selectByInvoiceOID:c3f8934e-097c-4bcb-8176-381f4dfbab11
===============================================================>0.06 % |  10 ms | ExpenseReportInvoiceServiceImpl.findByInvoiceOID:c3f8934e-097c-4bcb-8176-381f4dfbab11
======================================================================>0.06 % |  10 ms | ExpenseReportInvoiceMapper.findByInvoiceOID:c3f8934e-097c-4bcb-8176-381f4dfbab11
===============================================================>0.12 % |  20 ms | ReportBaseService.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@592018aa
======================================================================>0.12 % |  19 ms | ExpenseReportMPMapper.selectExpenseReportByCommand:ExpenseReportCommonSearchCommand@63a22dcb
========================================================>0.07 % |  12 ms | ReceiptGoodsServiceImpl.selectEntityByReceiptId:1946060585884106754
===============================================================>0.07 % |  12 ms | ReceiptGoodsMapper.selectEntityPageByCommand:ReceiptGoodsSearchCommand@45a1b6fb,Page@6c6f58e3
========================================================>0.47 % |  77 ms | ReceiptServiceImpl.isReceiptNonCompliance:Receipt@49130358,ArrayList@413d831c,050a8d03-80c0-4ab1-ada6-546aedaa98af,1798976097732612098,false
===============================================================>0.12 % |  19 ms | BaseBOProcessorImplDeprecated.selectEntityListMax10000:ReceiptSourceHistorySearchCommand@7259a6fe
======================================================================>0.12 % |  19 ms | BaseBOMapperDeprecated.selectBySearchCommand:ReceiptSourceHistorySearchCommand@7259a6fe,Page@2004e99f
===============================================================>0.06 % |  10 ms | ReceiptAttributeServiceImpl.selectEntityPage:ReceiptAttributeSearchCommand@42c0027d,PageRequest@76f2e5d0
======================================================================>0.06 % |  10 ms | ReceiptAttributeMapper.selectEntityPageByCommand:ReceiptAttributeSearchCommand@42c0027d,Page@717b23de
===============================================================>0.11 % |  18 ms | BaseBOProcessorImplDeprecated.selectFirstEntity:ReceiptOptionalAttributeSearchCommand@2057872a
======================================================================>0.11 % |  18 ms | BaseBOMapperDeprecated.selectBySearchCommand:ReceiptOptionalAttributeSearchCommand@2057872a,Page@711e0d55
===============================================================>0.15 % |  24 ms | AttachmentService.findOneByAttachmentOID:0f9145b5-d38d-4e93-8cc8-d48442c9f400
======================================================================>0.14 % |  23 ms | AttachmentMapper.findByAttachmentOID:0f9145b5-d38d-4e93-8cc8-d48442c9f400
=================================================>0.79 % |  129 ms | InvalidReceiptRcpLabelCalImpl.isReceiptNonCompliance:1946060586341285889,LabelCalculatorExtendParam@15760d8a,false
========================================================>0.27 % |  44 ms | ReceiptServiceImpl.selectOneById:1946060586341285889
===============================================================>0.27 % |  44 ms | ReceiptMapper.selectOneById:1946060586341285889
========================================================>0.07 % |  11 ms | ReceiptLineInvRelServiceImpl.getRelByReceiptIds:SingletonList@f125d3f
===============================================================>0.07 % |  11 ms | ReceiptLineInvMappingMapper.selectRelByInvoiceOIDAndReceiptIds:null,SingletonList@f125d3f
========================================================>0.07 % |  11 ms | ReceiptGoodsServiceImpl.selectEntityByReceiptId:1946060586341285889
===============================================================>0.07 % |  11 ms | ReceiptGoodsMapper.selectEntityPageByCommand:ReceiptGoodsSearchCommand@7e69038f,Page@78d3c19d
========================================================>0.38 % |  62 ms | ReceiptServiceImpl.isReceiptNonCompliance:Receipt@102d8e78,ArrayList@400e83c2,050a8d03-80c0-4ab1-ada6-546aedaa98af,1798976097732612098,false
===============================================================>0.12 % |  19 ms | BaseBOProcessorImplDeprecated.selectEntityListMax10000:ReceiptSourceHistorySearchCommand@3e6c8e17
======================================================================>0.12 % |  19 ms | BaseBOMapperDeprecated.selectBySearchCommand:ReceiptSourceHistorySearchCommand@3e6c8e17,Page@6946b6d3
===============================================================>0.07 % |  11 ms | ReceiptAttributeServiceImpl.selectEntityPage:ReceiptAttributeSearchCommand@379101b1,PageRequest@7cfdeca6
======================================================================>0.07 % |  11 ms | ReceiptAttributeMapper.selectEntityPageByCommand:ReceiptAttributeSearchCommand@379101b1,Page@d8b11e8
